age_group,cause,deaths,percent,country
All ages,"Communicable, maternal, perinatal and nutritional conditions",256.51,14.07,Micronesia (Federated States of)
All ages,Injuries,139.26,7.64,Micronesia (Federated States of)
All ages,Noncommunicable diseases,1427.4,78.29,Micronesia (Federated States of)
All ages,"Communicable, maternal, perinatal and nutritional conditions",6641.06,15.37,Mongolia
All ages,Injuries,4353.16,10.07,Mongolia
All ages,Noncommunicable diseases,32221.26,74.56,Mongolia
All ages,"Communicable, maternal, perinatal and nutritional conditions",4694.78,28.58,Montenegro
All ages,Injuries,424.47,2.58,Montenegro
All ages,Noncommunicable diseases,11304.7,68.83,Montenegro
All ages,"Communicable, maternal, perinatal and nutritional conditions",85526.11,17.6,Morocco
All ages,Injuries,26958.87,5.55,Morocco
All ages,Noncommunicable diseases,373426.83,76.85,Morocco
All ages,"Communicable, maternal, perinatal and nutritional conditions",353988.93,61.36,Mozambique
All ages,Injuries,41602.1,7.21,Mozambique
All ages,Noncommunicable diseases,181296.69,31.43,Mozambique
All ages,"Communicable, maternal, perinatal and nutritional conditions",249141.59,28.85,Myanmar
All ages,Injuries,60724.57,7.03,Myanmar
All ages,Noncommunicable diseases,553649.37,64.12,Myanmar
All ages,"Communicable, maternal, perinatal and nutritional conditions",30667.26,60.26,Namibia
All ages,Injuries,3881.18,7.63,Namibia
All ages,Noncommunicable diseases,16342.52,32.11,Namibia
All ages,"Communicable, maternal, perinatal and nutritional conditions",124305.46,32.48,Nepal
All ages,Injuries,38285.78,10.0,Nepal
All ages,Noncommunicable diseases,220101.22,57.51,Nepal
All ages,"Communicable, maternal, perinatal and nutritional conditions",56355.15,16.46,Netherlands
All ages,Injuries,18414.71,5.38,Netherlands
All ages,Noncommunicable diseases,267530.25,78.16,Netherlands
All ages,"Communicable, maternal, perinatal and nutritional conditions",3120.78,4.51,New Zealand
All ages,Injuries,4125.46,5.96,New Zealand
All ages,Noncommunicable diseases,61955.23,89.53,New Zealand
All ages,"Communicable, maternal, perinatal and nutritional conditions",25227.03,43.34,Nicaragua
All ages,Injuries,4549.99,7.82,Nicaragua
All ages,Noncommunicable diseases,28425.41,48.84,Nicaragua
All ages,"Communicable, maternal, perinatal and nutritional conditions",302960.88,66.55,Niger
All ages,Injuries,41968.02,9.22,Niger
All ages,Noncommunicable diseases,110298.77,24.23,Niger
All ages,"Communicable, maternal, perinatal and nutritional conditions",2151394.07,64.19,Nigeria
All ages,Injuries,264589.28,7.89,Nigeria
All ages,Noncommunicable diseases,935632.18,27.92,Nigeria
All ages,"Communicable, maternal, perinatal and nutritional conditions",15632.04,27.69,North Macedonia
All ages,Injuries,1460.5,2.59,North Macedonia
All ages,Noncommunicable diseases,39354.07,69.72,North Macedonia
All ages,"Communicable, maternal, perinatal and nutritional conditions",6336.74,7.61,Norway
All ages,Injuries,4863.37,5.84,Norway
All ages,Noncommunicable diseases,72105.61,86.56,Norway
All ages,"Communicable, maternal, perinatal and nutritional conditions",11674.62,36.83,Oman
All ages,Injuries,1857.07,5.86,Oman
All ages,Noncommunicable diseases,18164.76,57.31,Oman
All ages,"Communicable, maternal, perinatal and nutritional conditions",1249307.04,38.45,Pakistan
All ages,Injuries,256453.22,7.89,Pakistan
All ages,Noncommunicable diseases,1743290.41,53.66,Pakistan
All ages,"Communicable, maternal, perinatal and nutritional conditions",12434.42,25.99,Panama
All ages,Injuries,3515.13,7.35,Panama
All ages,Noncommunicable diseases,31896.51,66.66,Panama
All ages,"Communicable, maternal, perinatal and nutritional conditions",54897.36,42.9,Papua New Guinea
All ages,Injuries,9436.88,7.37,Papua New Guinea
All ages,Noncommunicable diseases,63641.68,49.73,Papua New Guinea
All ages,"Communicable, maternal, perinatal and nutritional conditions",44001.51,44.72,Paraguay
All ages,Injuries,6783.53,6.89,Paraguay
All ages,Noncommunicable diseases,47608.01,48.39,Paraguay
All ages,"Communicable, maternal, perinatal and nutritional conditions",311900.41,53.6,Peru
All ages,Injuries,27953.87,4.8,Peru
All ages,Noncommunicable diseases,242008.78,41.59,Peru
All ages,"Communicable, maternal, perinatal and nutritional conditions",461374.35,25.38,Philippines
All ages,Injuries,111888.38,6.16,Philippines
All ages,Noncommunicable diseases,1244463.11,68.46,Philippines
All ages,"Communicable, maternal, perinatal and nutritional conditions",243608.62,23.72,Poland
All ages,Injuries,40489.97,3.94,Poland
All ages,Noncommunicable diseases,742780.58,72.33,Poland
All ages,"Communicable, maternal, perinatal and nutritional conditions",37992.78,15.44,Portugal
All ages,Injuries,10594.05,4.31,Portugal
All ages,Noncommunicable diseases,197450.82,80.25,Portugal
All ages,"Communicable, maternal, perinatal and nutritional conditions",8359.05,12.44,Puerto Rico
All ages,Injuries,4191.36,6.24,Puerto Rico
All ages,Noncommunicable diseases,54641.67,81.32,Puerto Rico
All ages,"Communicable, maternal, perinatal and nutritional conditions",1723.69,18.9,Qatar
All ages,Injuries,1399.89,15.35,Qatar
All ages,Noncommunicable diseases,5998.6,65.76,Qatar
All ages,"Communicable, maternal, perinatal and nutritional conditions",93313.05,14.65,Republic of Korea
All ages,Injuries,52060.63,8.17,Republic of Korea
All ages,Noncommunicable diseases,491563.09,77.18,Republic of Korea
All ages,"Communicable, maternal, perinatal and nutritional conditions",23217.67,23.84,Republic of Moldova
All ages,Injuries,3405.59,3.5,Republic of Moldova
All ages,Noncommunicable diseases,70756.37,72.66,Republic of Moldova
All ages,"Communicable, maternal, perinatal and nutritional conditions",159136.03,24.27,Romania
All ages,Injuries,19126.79,2.92,Romania
All ages,Noncommunicable diseases,477539.64,72.82,Romania
All ages,"Communicable, maternal, perinatal and nutritional conditions",1317750.4,28.76,Russian Federation
All ages,Injuries,206095.74,4.5,Russian Federation
All ages,Noncommunicable diseases,3058544.01,66.75,Russian Federation
All ages,"Communicable, maternal, perinatal and nutritional conditions",61784.27,39.48,Rwanda
All ages,Injuries,14744.86,9.42,Rwanda
All ages,Noncommunicable diseases,79951.88,51.09,Rwanda
All ages,"Communicable, maternal, perinatal and nutritional conditions",1112.54,35.95,Saint Lucia
All ages,Injuries,182.28,5.89,Saint Lucia
All ages,Noncommunicable diseases,1800.11,58.16,Saint Lucia
All ages,"Communicable, maternal, perinatal and nutritional conditions",381.94,18.99,Saint Vincent and the Grenadines
All ages,Injuries,131.12,6.52,Saint Vincent and the Grenadines
All ages,Noncommunicable diseases,1498.2,74.49,Saint Vincent and the Grenadines
All ages,"Communicable, maternal, perinatal and nutritional conditions",308.47,10.81,Samoa
All ages,Injuries,173.65,6.08,Samoa
All ages,Noncommunicable diseases,2372.03,83.11,Samoa
All ages,"Communicable, maternal, perinatal and nutritional conditions",704.88,32.29,Sao Tome and Principe
All ages,Injuries,151.85,6.96,Sao Tome and Principe
All ages,Noncommunicable diseases,1326.41,60.76,Sao Tome and Principe
All ages,"Communicable, maternal, perinatal and nutritional conditions",28131.01,17.16,Saudi Arabia
All ages,Injuries,20157.3,12.3,Saudi Arabia
All ages,Noncommunicable diseases,115598.7,70.54,Saudi Arabia
All ages,"Communicable, maternal, perinatal and nutritional conditions",78264.42,40.22,Senegal
All ages,Injuries,20507.94,10.54,Senegal
All ages,Noncommunicable diseases,95825.88,49.24,Senegal
All ages,"Communicable, maternal, perinatal and nutritional conditions",71136.12,25.81,Serbia
All ages,Injuries,5604.63,2.03,Serbia
