year,cause,sex,deaths
2014,Benign neoplasm of meninges (D32),persons,84.0
2014,Benign neoplasm of middle ear and respiratory system (D14),females,1.0
2014,Benign neoplasm of middle ear and respiratory system (D14),persons,1.0
2014,Benign neoplasm of other and ill-defined parts of digestive system (D13),females,3.0
2014,Benign neoplasm of other and ill-defined parts of digestive system (D13),males,2.0
2014,Benign neoplasm of other and ill-defined parts of digestive system (D13),persons,5.0
2014,Benign neoplasm of other and unspecified endocrine glands (D35),females,7.0
2014,Benign neoplasm of other and unspecified endocrine glands (D35),males,6.0
2014,Benign neoplasm of other and unspecified endocrine glands (D35),persons,13.0
2014,Benign neoplasm of other and unspecified intrathoracic organs (D15),females,2.0
2014,Benign neoplasm of other and unspecified intrathoracic organs (D15),males,1.0
2014,Benign neoplasm of other and unspecified intrathoracic organs (D15),persons,3.0
2014,Benign neoplasm of other and unspecified sites (D36),females,1.0
2014,Benign neoplasm of other and unspecified sites (D36),males,1.0
2014,Benign neoplasm of other and unspecified sites (D36),persons,2.0
2014,Benign neoplasm of urinary organs (D30),females,1.0
2014,Benign neoplasm of urinary organs (D30),persons,1.0
2014,Benign neoplasms (D10-D36),females,78.0
2014,Benign neoplasms (D10-D36),males,50.0
2014,Benign neoplasms (D10-D36),persons,128.0
2014,Bipolar affective disorder (F31),females,9.0
2014,Bipolar affective disorder (F31),males,6.0
2014,Bipolar affective disorder (F31),persons,15.0
2014,Birth asphyxia (P21),females,1.0
2014,Birth asphyxia (P21),males,3.0
2014,Birth asphyxia (P21),persons,4.0
2014,Birth injury to scalp (P12),males,1.0
2014,Birth injury to scalp (P12),persons,1.0
2014,Birth trauma (P10-P15),males,2.0
2014,Birth trauma (P10-P15),persons,2.0
2014,Bitten or struck by crocodile or alligator (W58),males,4.0
2014,Bitten or struck by crocodile or alligator (W58),persons,4.0
2014,Bitten or struck by dog (W54),females,1.0
2014,Bitten or struck by dog (W54),males,1.0
2014,Bitten or struck by dog (W54),persons,2.0
2014,Bitten or struck by other mammals (W55),females,1.0
2014,Bitten or struck by other mammals (W55),persons,1.0
2014,Bronchiectasis (J47),females,261.0
2014,Bronchiectasis (J47),males,108.0
2014,Bronchiectasis (J47),persons,369.0
2014,"Bronchitis, not specified as acute or chronic (J40)",females,14.0
2014,"Bronchitis, not specified as acute or chronic (J40)",males,11.0
2014,"Bronchitis, not specified as acute or chronic (J40)",persons,25.0
2014,Bullous disorders (L10-L14),females,5.0
2014,Bullous disorders (L10-L14),males,10.0
2014,Bullous disorders (L10-L14),persons,15.0
2014,Bus occupant injured in collision with fixed or stationary object (V77),females,1.0
2014,Bus occupant injured in collision with fixed or stationary object (V77),males,1.0
2014,Bus occupant injured in collision with fixed or stationary object (V77),persons,2.0
2014,Bus occupant injured in collision with heavy transport vehicle or bus (V74),males,1.0
2014,Bus occupant injured in collision with heavy transport vehicle or bus (V74),persons,1.0
2014,Bus occupant injured in noncollision transport accident (V78),females,1.0
2014,Bus occupant injured in noncollision transport accident (V78),persons,1.0
2014,Bus occupant injured in transport accident (V70-V79),females,2.0
2014,Bus occupant injured in transport accident (V70-V79),males,2.0
2014,Bus occupant injured in transport accident (V70-V79),persons,4.0
2014,Calculus of kidney and ureter (N20),females,20.0
2014,Calculus of kidney and ureter (N20),males,10.0
2014,Calculus of kidney and ureter (N20),persons,30.0
2014,Calculus of lower urinary tract (N21),males,1.0
2014,Calculus of lower urinary tract (N21),persons,1.0
2014,Candidiasis (B37),females,5.0
2014,Candidiasis (B37),males,7.0
2014,Candidiasis (B37),persons,12.0
2014,"Car occupant injured in collision with car, pick-up truck or van (V43)",females,88.0
2014,"Car occupant injured in collision with car, pick-up truck or van (V43)",males,117.0
2014,"Car occupant injured in collision with car, pick-up truck or van (V43)",persons,205.0
2014,Car occupant injured in collision with fixed or stationary object (V47),females,93.0
2014,Car occupant injured in collision with fixed or stationary object (V47),males,178.0
2014,Car occupant injured in collision with fixed or stationary object (V47),persons,271.0
2014,Car occupant injured in collision with heavy transport vehicle or bus (V44),females,41.0
2014,Car occupant injured in collision with heavy transport vehicle or bus (V44),males,68.0
2014,Car occupant injured in collision with heavy transport vehicle or bus (V44),persons,109.0
2014,Car occupant injured in collision with other nonmotor vehicle (V46),males,1.0
2014,Car occupant injured in collision with other nonmotor vehicle (V46),persons,1.0
2014,Car occupant injured in collision with pedestrian or animal (V40),males,6.0
2014,Car occupant injured in collision with pedestrian or animal (V40),persons,6.0
2014,Car occupant injured in collision with two- or three-wheeled motor vehicle (V42),females,1.0
