country,iso3,sex,major_category,number_of_deaths,percentage_of_total_deaths,Year
Bolivia (Plurinational State of),BOL,males,"Communicable, maternal, perinatal and nutritional conditions",13651.45,19.88,2000
Bolivia (Plurinational State of),BOL,males,Noncommunicable diseases,17083.6,24.88,2000
Bolivia (Plurinational State of),BOL,males,Injuries,4160.87,6.06,2000
Bolivia (Plurinational State of),BOL,females,"Communicable, maternal, perinatal and nutritional conditions",13056.5,19.02,2000
Bolivia (Plurinational State of),BOL,females,Noncommunicable diseases,18901.9,27.53,2000
Bolivia (Plurinational State of),BOL,females,Injuries,1805.59,2.63,2000
Bosnia and Herzegovina,BIH,persons,"Communicable, maternal, perinatal and nutritional conditions",921.77,3.09,2000
Bosnia and Herzegovina,BIH,persons,Noncommunicable diseases,27023.54,90.49,2000
Bosnia and Herzegovina,BIH,persons,Injuries,1918.72,6.42,2000
Bosnia and Herzegovina,BIH,males,"Communicable, maternal, perinatal and nutritional conditions",476.29,1.59,2000
Bosnia and Herzegovina,BIH,males,Noncommunicable diseases,12374.38,41.44,2000
Bosnia and Herzegovina,BIH,males,Injuries,1346.71,4.51,2000
Bosnia and Herzegovina,BIH,females,"Communicable, maternal, perinatal and nutritional conditions",445.48,1.49,2000
Bosnia and Herzegovina,BIH,females,Noncommunicable diseases,14649.16,49.05,2000
Bosnia and Herzegovina,BIH,females,Injuries,572.02,1.92,2000
Botswana,BWA,persons,"Communicable, maternal, perinatal and nutritional conditions",21087.04,78.21,2000
Botswana,BWA,persons,Noncommunicable diseases,4593.67,17.04,2000
Botswana,BWA,persons,Injuries,1280.65,4.75,2000
Botswana,BWA,males,"Communicable, maternal, perinatal and nutritional conditions",10634.21,39.44,2000
Botswana,BWA,males,Noncommunicable diseases,2748.78,10.2,2000
Botswana,BWA,males,Injuries,996.18,3.69,2000
Botswana,BWA,females,"Communicable, maternal, perinatal and nutritional conditions",10452.83,38.77,2000
Botswana,BWA,females,Noncommunicable diseases,1844.89,6.84,2000
Botswana,BWA,females,Injuries,284.47,1.06,2000
Brazil,BRA,persons,"Communicable, maternal, perinatal and nutritional conditions",176990.84,18.68,2000
Brazil,BRA,persons,Noncommunicable diseases,646896.77,68.28,2000
Brazil,BRA,persons,Injuries,123557.34,13.04,2000
Brazil,BRA,males,"Communicable, maternal, perinatal and nutritional conditions",100406.47,10.6,2000
Brazil,BRA,males,Noncommunicable diseases,347021.51,36.63,2000
Brazil,BRA,males,Injuries,103537.71,10.93,2000
Brazil,BRA,females,"Communicable, maternal, perinatal and nutritional conditions",76584.37,8.08,2000
Brazil,BRA,females,Noncommunicable diseases,299875.26,31.65,2000
Brazil,BRA,females,Injuries,20019.63,2.11,2000
Brunei Darussalam,BRN,persons,"Communicable, maternal, perinatal and nutritional conditions",94.38,9.64,2000
Brunei Darussalam,BRN,persons,Noncommunicable diseases,770.55,78.67,2000
Brunei Darussalam,BRN,persons,Injuries,114.54,11.69,2000
Brunei Darussalam,BRN,males,"Communicable, maternal, perinatal and nutritional conditions",54.24,5.54,2000
Brunei Darussalam,BRN,males,Noncommunicable diseases,425.58,43.45,2000
Brunei Darussalam,BRN,males,Injuries,91.4,9.33,2000
Brunei Darussalam,BRN,females,"Communicable, maternal, perinatal and nutritional conditions",40.13,4.1,2000
Brunei Darussalam,BRN,females,Noncommunicable diseases,344.97,35.22,2000
Brunei Darussalam,BRN,females,Injuries,23.15,2.36,2000
Bulgaria,BGR,persons,"Communicable, maternal, perinatal and nutritional conditions",3797.32,3.29,2000
Bulgaria,BGR,persons,Noncommunicable diseases,107159.97,92.78,2000
Bulgaria,BGR,persons,Injuries,4544.55,3.93,2000
Bulgaria,BGR,males,"Communicable, maternal, perinatal and nutritional conditions",2221.8,1.92,2000
Bulgaria,BGR,males,Noncommunicable diseases,55545.8,48.09,2000
Bulgaria,BGR,males,Injuries,3382.59,2.93,2000
Bulgaria,BGR,females,"Communicable, maternal, perinatal and nutritional conditions",1575.52,1.36,2000
Bulgaria,BGR,females,Noncommunicable diseases,51614.17,44.69,2000
Bulgaria,BGR,females,Injuries,1161.96,1.01,2000
Burkina Faso,BFA,persons,"Communicable, maternal, perinatal and nutritional conditions",125296.01,73.39,2000
Burkina Faso,BFA,persons,Noncommunicable diseases,35776.67,20.96,2000
Burkina Faso,BFA,persons,Injuries,9649.93,5.65,2000
Burkina Faso,BFA,males,"Communicable, maternal, perinatal and nutritional conditions",62956.65,36.88,2000
Burkina Faso,BFA,males,Noncommunicable diseases,18539.42,10.86,2000
Burkina Faso,BFA,males,Injuries,6270.4,3.67,2000
Burkina Faso,BFA,females,"Communicable, maternal, perinatal and nutritional conditions",62339.35,36.51,2000
Burkina Faso,BFA,females,Noncommunicable diseases,17237.25,10.1,2000
Burkina Faso,BFA,females,Injuries,3379.53,1.98,2000
Burundi,BDI,persons,"Communicable, maternal, perinatal and nutritional conditions",71652.95,62.32,2000
Burundi,BDI,persons,Noncommunicable diseases,21554.83,18.75,2000
Burundi,BDI,persons,Injuries,21761.67,18.93,2000
Burundi,BDI,males,"Communicable, maternal, perinatal and nutritional conditions",35635.6,31.0,2000
Burundi,BDI,males,Noncommunicable diseases,9541.54,8.3,2000
Burundi,BDI,males,Injuries,16831.09,14.64,2000
Burundi,BDI,females,"Communicable, maternal, perinatal and nutritional conditions",36017.35,31.33,2000
Burundi,BDI,females,Noncommunicable diseases,12013.29,10.45,2000
Burundi,BDI,females,Injuries,4930.58,4.29,2000
Cabo Verde,CPV,persons,"Communicable, maternal, perinatal and nutritional conditions",780.74,35.08,2000
Cabo Verde,CPV,persons,Noncommunicable diseases,1162.41,52.22,2000
Cabo Verde,CPV,persons,Injuries,282.76,12.7,2000
Cabo Verde,CPV,males,"Communicable, maternal, perinatal and nutritional conditions",429.55,19.3,2000
Cabo Verde,CPV,males,Noncommunicable diseases,574.81,25.82,2000
Cabo Verde,CPV,males,Injuries,215.56,9.68,2000
Cabo Verde,CPV,females,"Communicable, maternal, perinatal and nutritional conditions",351.2,15.78,2000
Cabo Verde,CPV,females,Noncommunicable diseases,587.6,26.4,2000
Cabo Verde,CPV,females,Injuries,67.21,3.02,2000
Cambodia,KHM,persons,"Communicable, maternal, perinatal and nutritional conditions",56889.06,52.26,2000
Cambodia,KHM,persons,Noncommunicable diseases,41605.78,38.22,2000
Cambodia,KHM,persons,Injuries,10358.53,9.52,2000
Cambodia,KHM,males,"Communicable, maternal, perinatal and nutritional conditions",29013.28,26.65,2000
Cambodia,KHM,males,Noncommunicable diseases,19893.08,18.28,2000
Cambodia,KHM,males,Injuries,6891.24,6.33,2000
Cambodia,KHM,females,"Communicable, maternal, perinatal and nutritional conditions",27875.78,25.61,2000
Cambodia,KHM,females,Noncommunicable diseases,21712.71,19.95,2000
Cambodia,KHM,females,Injuries,3467.29,3.19,2000
