country,iso3,sex,major_category,number_of_deaths,percentage_of_total_deaths
Burkina Faso,BFA,females,"Communicable, maternal, perinatal and nutritional conditions",39682.39,24.41
Burkina Faso,BFA,females,Noncommunicable diseases,28726.49,17.67
Burkina Faso,BFA,females,Injuries,6269.36,3.86
Burundi,BDI,persons,"Communicable, maternal, perinatal and nutritional conditions",41797.98,50.18
Burundi,BDI,persons,Noncommunicable diseases,32360.12,38.85
Burundi,BDI,persons,Injuries,8350.2,10.02
Burundi,BDI,males,"Communicable, maternal, perinatal and nutritional conditions",21853.52,26.23
Burundi,BDI,males,Noncommunicable diseases,16305.25,19.57
Burundi,BDI,males,Injuries,5587.57,6.71
Burundi,BDI,females,"Communicable, maternal, perinatal and nutritional conditions",19944.47,23.94
Burundi,BDI,females,Noncommunicable diseases,16054.87,19.27
Burundi,BDI,females,Injuries,2762.62,3.32
Cabo Verde,CPV,persons,"Communicable, maternal, perinatal and nutritional conditions",751.4,23.25
Cabo Verde,CPV,persons,Noncommunicable diseases,2072.23,64.12
Cabo Verde,CPV,persons,Injuries,346.68,10.73
Cabo Verde,CPV,males,"Communicable, maternal, perinatal and nutritional conditions",438.72,13.58
Cabo Verde,CPV,males,Noncommunicable diseases,1098.87,34.0
Cabo Verde,CPV,males,Injuries,276.12,8.54
Cabo Verde,CPV,females,"Communicable, maternal, perinatal and nutritional conditions",312.67,9.67
Cabo Verde,CPV,females,Noncommunicable diseases,973.35,30.12
Cabo Verde,CPV,females,Injuries,70.56,2.18
Cambodia,KHM,persons,"Communicable, maternal, perinatal and nutritional conditions",30909.41,25.06
Cambodia,KHM,persons,Noncommunicable diseases,78472.5,63.62
Cambodia,KHM,persons,Injuries,9501.26,7.7
Cambodia,KHM,males,"Communicable, maternal, perinatal and nutritional conditions",16237.47,13.16
Cambodia,KHM,males,Noncommunicable diseases,38431.53,31.16
Cambodia,KHM,males,Injuries,6570.62,5.33
Cambodia,KHM,females,"Communicable, maternal, perinatal and nutritional conditions",14671.95,11.9
Cambodia,KHM,females,Noncommunicable diseases,40040.97,32.46
Cambodia,KHM,females,Injuries,2930.64,2.38
Cameroon,CMR,persons,"Communicable, maternal, perinatal and nutritional conditions",116293.8,54.49
Cameroon,CMR,persons,Noncommunicable diseases,76237.29,35.72
Cameroon,CMR,persons,Injuries,16241.23,7.61
Cameroon,CMR,males,"Communicable, maternal, perinatal and nutritional conditions",61377.87,28.76
Cameroon,CMR,males,Noncommunicable diseases,38533.72,18.05
Cameroon,CMR,males,Injuries,11291.35,5.29
Cameroon,CMR,females,"Communicable, maternal, perinatal and nutritional conditions",54915.93,25.73
Cameroon,CMR,females,Noncommunicable diseases,37703.58,17.67
Cameroon,CMR,females,Injuries,4949.88,2.32
Canada,CAN,persons,"Communicable, maternal, perinatal and nutritional conditions",25971.09,8.36
Canada,CAN,persons,Noncommunicable diseases,267700.55,86.14
Canada,CAN,persons,Injuries,17094.34,5.5
Canada,CAN,males,"Communicable, maternal, perinatal and nutritional conditions",14042.96,4.52
Canada,CAN,males,Noncommunicable diseases,140214.07,45.12
Canada,CAN,males,Injuries,10135.33,3.26
Canada,CAN,females,"Communicable, maternal, perinatal and nutritional conditions",11928.13,3.84
Canada,CAN,females,Noncommunicable diseases,127486.48,41.02
Canada,CAN,females,Injuries,6959.01,2.24
Central African Republic,CAF,persons,"Communicable, maternal, perinatal and nutritional conditions",40517.4,66.31
Central African Republic,CAF,persons,Noncommunicable diseases,13910.51,22.76
Central African Republic,CAF,persons,Injuries,5463.0,8.94
Central African Republic,CAF,males,"Communicable, maternal, perinatal and nutritional conditions",20911.83,34.22
Central African Republic,CAF,males,Noncommunicable diseases,7377.52,12.07
Central African Republic,CAF,males,Injuries,4040.76,6.61
Central African Republic,CAF,females,"Communicable, maternal, perinatal and nutritional conditions",19605.57,32.08
Central African Republic,CAF,females,Noncommunicable diseases,6532.99,10.69
Central African Republic,CAF,females,Injuries,1422.24,2.33
Chad,TCD,persons,"Communicable, maternal, perinatal and nutritional conditions",109374.1,66.42
Chad,TCD,persons,Noncommunicable diseases,38659.19,23.48
Chad,TCD,persons,Injuries,13811.11,8.39
Chad,TCD,males,"Communicable, maternal, perinatal and nutritional conditions",56660.24,34.41
Chad,TCD,males,Noncommunicable diseases,19669.96,11.94
Chad,TCD,males,Injuries,9324.08,5.66
Chad,TCD,females,"Communicable, maternal, perinatal and nutritional conditions",52713.86,32.01
Chad,TCD,females,Noncommunicable diseases,18989.23,11.53
Chad,TCD,females,Injuries,4487.03,2.72
Chile,CHL,persons,"Communicable, maternal, perinatal and nutritional conditions",31187.32,21.34
Chile,CHL,persons,Noncommunicable diseases,107013.24,73.24
Chile,CHL,persons,Injuries,7915.72,5.42
Chile,CHL,males,"Communicable, maternal, perinatal and nutritional conditions",17340.4,11.87
Chile,CHL,males,Noncommunicable diseases,53082.65,36.33
Chile,CHL,males,Injuries,5795.57,3.97
Chile,CHL,females,"Communicable, maternal, perinatal and nutritional conditions",13846.92,9.48
Chile,CHL,females,Noncommunicable diseases,53930.58,36.91
Chile,CHL,females,Injuries,2120.15,1.45
China,CHN,persons,"Communicable, maternal, perinatal and nutritional conditions",368905.03,3.2
China,CHN,persons,Noncommunicable diseases,10451643.4,90.68
China,CHN,persons,Injuries,691862.53,6.0
China,CHN,males,"Communicable, maternal, perinatal and nutritional conditions",213901.68,1.86
China,CHN,males,Noncommunicable diseases,5881481.01,51.03
China,CHN,males,Injuries,461157.55,4.0
China,CHN,females,"Communicable, maternal, perinatal and nutritional conditions",155003.35,1.34
China,CHN,females,Noncommunicable diseases,4570162.39,39.65
China,CHN,females,Injuries,230704.98,2.0
Colombia,COL,persons,"Communicable, maternal, perinatal and nutritional conditions",118192.23,32.63
Colombia,COL,persons,Noncommunicable diseases,208861.81,57.67
Colombia,COL,persons,Injuries,35115.89,9.7
Colombia,COL,males,"Communicable, maternal, perinatal and nutritional conditions",69681.87,19.24
Colombia,COL,males,Noncommunicable diseases,101833.66,28.12
Colombia,COL,males,Injuries,29335.5,8.1
Colombia,COL,females,"Communicable, maternal, perinatal and nutritional conditions",48510.35,13.39
